Before you upload your allocations into the tool, please make sure they sum to 100;;
;;
;SUM-CHECK;100,00
;;
Category;Subcategory;Target_Allocation
Stocks;Diversified, world-wide;55,50
Stocks;Value;5,00
Stocks;3a;5,00
Stocks;Regions of interest (europe, poland);5,00
Stocks;Real estate ;5,00
Bonds;Bonds;5,00
Gold;Gold;6,75
Cryptocurrency;Cryptocurrency;4,50
Cash;Random accounts;1,00
Cash;Electronic;4,25
Cash;Physical;1,00
Cash;Debts, deposits etc.;2,00
